username,full_name,comment,create_time,avatar,total_like,total_reply,replies
jagunkz.id,j ʌ ɢ u и к z,Yok lah kita NEPAL kan bedebah2 ini,2025-11-26T00:52:09,https://scontent.cdninstagram.com/v/t51.82787-19/541861571_18064216220352728_411657848522726670_n.jpg?stp=dst-webp_s150x150&_nc_cat=104&ig_cache_key=GMMmTCDYwPUWTy1AAA7dMtahgLYFbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=7VOIv7RPTVMQ7kNvwHH5_q1&_nc_oc=AdnrtxJxXtowVtBbLFRwHqCAGPPDRk4r7E6WB8E1aFSLm01cMsGSzPWmcO7gQ7fugtw&_nc_ad=z-m&_nc_cid=1225&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=7Q5ahkCmz-YD6RQSV7kIPg&oh=00_AflYoH34ht1PW5lTbZpUozf2lcs5wKPLxiko-AGVYx6Jow&oe=693B156D,0,0,[]
iip1255,Iip,Knpa y orang sprti ni jdi mentri,2025-11-25T22:42:21,https://scontent.cdninstagram.com/v/t51.2885-19/482059891_4016675011987338_6261437322171189758_n.jpg?stp=dst-webp_s150x150&_nc_cat=100&ig_cache_key=GHOmuxyKh0QHJUUOAP4JY_sRGOVWbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43MjAuQzMifQ%3D%3D&_nc_ohc=zn6BxxLkGD4Q7kNvwF7TK1v&_nc_oc=AdmoB2AcjTaw9CEyVQ0zA7oTjsuzgUxgVLVxUrOaokg4l4ydK1FaBNjQpnVZwyjpaDA&_nc_ad=z-m&_nc_cid=1225&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfnTXoOknV0151vaRWpUsY7IquJsFuB1I4tG6iSLnQBjjQ&oe=693B2857,0,0,[]
j.alfaelvison,J Alfa Elvison,Enak juga barang ini 😂😂😂😂,2025-11-25T22:41:08,https://scontent.cdninstagram.com/v/t51.82787-19/567241627_18434058430101331_8514191062155925348_n.jpg?stp=dst-webp_s150x150&_nc_cat=110&ig_cache_key=GJtrzyFTt36wrX1BAGQXnDGpeyh2bmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy44NDUuQzMifQ%3D%3D&_nc_ohc=GFtIdPgNmBEQ7kNvwFa6sZl&_nc_oc=Adl8weq2-G2uQadp2BBJNdInqENOR48nlXHelgPv9g_JyVMDYudvpC2uyVjcckptDS8&_nc_ad=z-m&_nc_cid=1225&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=7Q5ahkCmz-YD6RQSV7kIPg&oh=00_AfkANYEvvDaJFaXJAeHMvXgR_iKbQu3BVB6uBKjuxOj5Hw&oe=693B1ADE,0,0,[]
trisnssa,trisna oksa,"Brrti busa di katakan pak bahlil penjahatnya, krna dia sendiri yg bilang",2025-11-25T22:10:39,https://scontent.cdninstagram.com/v/t51.2885-19/295917503_1037548490268982_3378443169179613060_n.jpg?stp=dst-webp_s150x150&_nc_cat=100&ig_cache_key=GL9XoxE2ITMVpa8DAIS3y6AppOIubkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=Br49iFxhWj8Q7kNvwHPhKPU&_nc_oc=AdkJ3LYajsZdO2wkWMikFGcDwxEe_LD9UFmUAQC06fShm7wO7ya8PJsH44bCW0iDMX4&_nc_ad=z-m&_nc_cid=1225&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_Afn3oRENHUCQHedAQFZ_7SyW4naGUDQsqblgD_4QoRYH3w&oe=693B0891,0,0,[]
irsadtaufik_,S A D,udah jelek jahat lagi,2025-11-25T21:23:41,https://scontent.cdninstagram.com/v/t51.82787-19/571909541_18216472726307773_2004090885171439069_n.jpg?stp=dst-webp_s150x150&_nc_cat=103&ig_cache_key=GKWlFiK9g_kRybdAAN3lPbwK9s8bbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=rO0yv84-cwwQ7kNvwHb8MzF&_nc_oc=AdmVniZ-eFWVVVlM3WcKq5bhd4Lc1rYM0K_fzmzdd1Nyt1e8nZr4TamYcebBG14lioQ&_nc_ad=z-m&_nc_cid=1225&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=7Q5ahkCmz-YD6RQSV7kIPg&oh=00_AfmzEDTDYAXRcO2Iw2Tv_irVRjkkhaSMsbxanR0sowPa9w&oe=693B1274,0,0,[]
irsadtaufik_,S A D,PANTES MENTAL NYA KAYA GITU MINDSET NYA GITU ANJING PARAH MANUSIA INI,2025-11-25T21:22:55,https://scontent.cdninstagram.com/v/t51.82787-19/571909541_18216472726307773_2004090885171439069_n.jpg?stp=dst-webp_s150x150&_nc_cat=103&ig_cache_key=GKWlFiK9g_kRybdAAN3lPbwK9s8bbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=rO0yv84-cwwQ7kNvwHb8MzF&_nc_oc=AdmVniZ-eFWVVVlM3WcKq5bhd4Lc1rYM0K_fzmzdd1Nyt1e8nZr4TamYcebBG14lioQ&_nc_ad=z-m&_nc_cid=1225&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=qqjhmxaTrwusuUwUMmb8fw&oh=00_AfnGMvfcV9tcvO-IhT_GyOLczE6F33Q1DzhSICzHQDjapw&oe=693B1274,0,0,[]
gerysolute,Gerrit Purba,What?? @bahlillahadalia,2025-11-25T20:56:35,https://scontent.cdninstagram.com/v/t51.2885-19/467043903_496932796709264_8797041370164375735_n.jpg?stp=dst-webp_s150x150&_nc_cat=103&ig_cache_key=GD_G1huQOdMu9cMBALcwEHeEXhV6bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy45NjEuQzMifQ%3D%3D&_nc_ohc=6EWqe4ofGosQ7kNvwEf2amk&_nc_oc=AdkoUub3lItOipvkZ826nKGarLdynjSa6sNrhG4wjfnQfLRM5HHEO17bkTYaJyrvM-k&_nc_ad=z-m&_nc_cid=1225&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_Afl7HQwwL_I9VVrJpKNwTZFKS6bJpx7JKpHuNyuvRxjxNw&oe=693B22E7,0,0,[]
fhrzie,Erozz,Secara tidak langsung dia bilang dia jahat,2025-11-25T20:29:43,https://scontent.cdninstagram.com/v/t51.2885-19/16583713_260296954407775_2527113801543712768_a.jpg?stp=dst-webp_s150x150&_nc_cat=104&ig_cache_key=GCEM-QBf64AbvewAAAAAAACdHBIjYUULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy40ODAuQzMifQ%3D%3D&_nc_ohc=qCbwzUYrESoQ7kNvwEVyH0F&_nc_oc=AdnWrLm3ONOFq30t5uMEAscmr_r5cEcRzjNaMOZ_VPF3QFcD33LBQGYa6ecVkd0INUE&_nc_ad=z-m&_nc_cid=1225&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_Afnvg_wUpgd3HJDImoa3a1S61T7fT3H4Z-lBQkXU1T_k-g&oe=693B2A78,0,0,[]
_abhiimr,ibrahim,"biarin dia berbahagia didunia, sesungguhnya keadilan yg setegak""nya hanya di akhirat",2025-11-25T20:28:04,https://scontent.cdninstagram.com/v/t51.82787-19/551568191_18093108643738642_4760223863011511824_n.jpg?stp=dst-webp_s150x150&_nc_cat=105&ig_cache_key=GD9D4CAStJchlkdAABCOI-Zhtg9CbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=g6V6Xco4PwAQ7kNvwG8A9LO&_nc_oc=AdmLuFRHFBOupoHaRyxWJ1B_bSOOKOvyFuccMedupQhi3NULTCNXYdMpA_7ntB539do&_nc_ad=z-m&_nc_cid=1225&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=qqjhmxaTrwusuUwUMmb8fw&oh=00_AfnTr48wYBMnfl566Gh-zEydjLiajEAF5Cw46TLE1z9u6Q&oe=693AF535,0,0,[]
hendrick_nurcholis,Hendrick Nur Cholis,,2025-11-25T20:28:02,https://scontent.cdninstagram.com/v/t51.82787-19/541923331_18316935235212320_7571555686170040261_n.jpg?stp=dst-webp_s150x150&_nc_cat=103&ig_cache_key=GAMYTSAglBHSJxNBAMUXQd-HkRNpbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=w7nktWiGPo8Q7kNvwEUYnpH&_nc_oc=AdmvFQJSe7pyNbhZ4bvB-BcfjiJzvEFThFFKbFWWyV4FnFeU9bFz2DPPh1J-NBfG3Zc&_nc_ad=z-m&_nc_cid=1225&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=qqjhmxaTrwusuUwUMmb8fw&oh=00_Afl_hv59V67AYvFgy-f7bGiBOs8TLTi6uk_rg7nKl0Pgiw&oe=693AFE2B,0,0,[]
