username,full_name,comment,create_time,avatar,total_like,total_reply,replies
twentyone.loy,ۦۦ,enak ye,2025-10-26T08:48:01,https://scontent.cdninstagram.com/v/t51.89012-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-webp_s150x150&_nc_cat=1&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy5DMiJ9&_nc_ohc=Z7kRd9ibHtAQ7kNvwEpbll8&_nc_oc=AdlAiydo5x4YmQjnuW9_AtLZDwoMEDWmXcndk1X2PRSwQp9cAGg3SveQftBS4ddv1LZb0vRhfr5ap5EuDQB7hRUf&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=pscDhAROjyRFb0pX4x4PVA&oh=00_Afms8tfYybLDp-KJtLzqy6twWGOk4lKemznkVCgruz5XdQ&oe=693B74D9,0,0,[]
faizfs_1,FaizFS,,2025-10-26T08:54:24,https://scontent.cdninstagram.com/v/t51.2885-19/296141923_3264891223791813_2669647589884868418_n.jpg?stp=dst-webp_s150x150&_nc_cat=101&ig_cache_key=GGPEphHF2J_5ZpkLAEK3kK5WfgwlbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMyIn0%3D&_nc_ohc=uppdGrndYPEQ7kNvwEEx72L&_nc_oc=Adm1qHscbjDao8axQFkgzzPp3DKZcUxv4U1_hM79cHBvTlLC3Jm_PqSjYQFI9tAMPp1lx4bWeg7sbhYkmBt7wUTe&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfkzPLC-WK3iNHsGMa_4NRfCR2b9JJW_J5TtaOr22FFGjw&oe=693B7040,1,0,[]
adhitamadamian,damian,BAHLILLLL ANJJJJJ🔥🔥🔥🔥,2025-10-26T08:58:01,https://scontent.cdninstagram.com/v/t51.2885-19/252114509_846600989370608_6355347085750371898_n.jpg?stp=dst-webp_s150x150&_nc_cat=104&ig_cache_key=GE32Bg-w6Dyn_gEDADoGd56AujJYbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMyIn0%3D&_nc_ohc=JebtqEk0304Q7kNvwF4alTi&_nc_oc=AdknDs2dlvoKirRxwJN7AxKCZ5WREXUYt-5szRf8KX-PAg4rhyvOLS0Gp5i_-Sl1UGj3y3ErwxVr74W-poIS0t0c&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfkH7iJuQp8D5ChKhhP6Ot_k_1tSFJEe-uXT9U0gk1Tg8Q&oe=693B54C3,0,0,[]
silviyatris,silviya amaliya trisna ayu,"KOE LEK SUGEH NIKMATI HARTAMU GAK TEKO DUIT RAKYAT, KITA² ORANG GAK PEDULI. LAH ELU  DI GAJI PAKE DUIT KITA WOYY 🔥🔥🔥",2025-10-26T08:47:47,https://scontent.cdninstagram.com/v/t51.82787-19/539977375_18502150306066132_4735131577443864902_n.jpg?stp=dst-webp_s150x150&_nc_cat=104&ig_cache_key=GJ9mLyDU7pKQm7tBAEbRRvYUkbZBbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy45NjAuQzIifQ%3D%3D&_nc_ohc=fksXsE7BI4QQ7kNvwFK3cbI&_nc_oc=AdmN9-IVdFToiW-xirYkBM5QsQMyrX_cycoxYjVsLq8kVBNy2w3S1SKDm8Ofcl01hf6hPxNx1gEIWL2zznIQOVtD&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=xhBAgidyzxlwgsIKffOhbA&oh=00_AfmrXSo3-nUv80b4Hfy6yuJHeE9LENB9Nu7vb3eZSLiNyQ&oe=693B8160,1,0,[]
achmad_tammam,Ahmad Tammam,"Dulu benci korupsi, stelah jadi pejabat... Enak juga ini barang 😵‍💫",2025-10-26T08:47:13,https://scontent.cdninstagram.com/v/t51.2885-19/467921716_598093189268668_8114931066270968766_n.jpg?stp=dst-webp_s150x150&_nc_cat=110&ig_cache_key=GDTr4xu8xBZs9h8CAL7r3F3PBp5wbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy45NTUuQzIifQ%3D%3D&_nc_ohc=ZL7zKUC1h5YQ7kNvwH5l8EO&_nc_oc=Adl3ndLJS5Nu2EvuT3IeS_S7N-Bo3E_ZN7l2QIu0-he3Jsiwox-dwvzxhYwyvLQdvWT2hu1Yt97lExiTW4c8vE8W&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_Afnk49HicF3rcPG36kM84ZOYnPBf2fN2t8LChQMMoY8qMw&oe=693B7FEB,0,0,[]
riswandi.saintsaiya,Riswandi Orphans,Kontol,2025-10-26T08:47:00,https://scontent.cdninstagram.com/v/t51.2885-19/445674961_355451633818356_6449152154597198695_n.jpg?stp=dst-webp_s150x150&_nc_cat=107&ig_cache_key=GNF1kBr0Wl4ISEMBAGcLNi23-X9ZbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43MDkuQzIifQ%3D%3D&_nc_ohc=zIDS2CxIuA0Q7kNvwGpM9Ka&_nc_oc=Adl4Rj_ftAhK00jlRUIypIjKvuWdtHFMJLXpLhyi4h4hU3WCOabHO2w7HQ0HaVRU1y8WMkSAQaJaQcOBEJSchayn&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfkfqFC66cE20BdIoZcvlIeD3eLSdzd8vdqVFJG1x02NhA&oe=693B805A,0,0,[]
firmn_cruiser,firmnsyaaah,"Astaga, bahlil lahdialagi 🗿",2025-10-26T09:00:15,https://scontent.cdninstagram.com/v/t51.82787-19/587058894_17892437730368512_3524593112134840501_n.jpg?stp=dst-webp_s150x150&_nc_cat=108&ig_cache_key=GM7O-SIAnBXLE5E-ALXwlerC3ukwbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMyIn0%3D&_nc_ohc=yuxy2h_Em0wQ7kNvwG0MyPY&_nc_oc=AdlBO8jkbMs-k8oObB_UFN4nFel_NQnkB5h_w5qw3JvqGUBDOMF0Y9gfSUY6NmmUHtU-ca_Qj06zGphQqqFeDta-&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=xhBAgidyzxlwgsIKffOhbA&oh=00_AfkwXaLejZIVyK6UokijRdc4JY4hnSM4DqSCsKVKdMivsg&oe=693B70E7,1,0,[]
alvinop_,sipaling sosmed,Masa iya sih pak gak dipecat juga. @prabowo,2025-10-26T08:04:53,https://scontent.cdninstagram.com/v/t51.82787-19/541921684_18523779277021587_1982634525372339219_n.jpg?stp=dst-webp_s150x150&_nc_cat=103&ig_cache_key=GJQRTSCTYbRzR89BABNUPqyYu4MbbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy41NTQuQzIifQ%3D%3D&_nc_ohc=djaTG-fYWv0Q7kNvwGVm30s&_nc_oc=Adn6vnLIqh8jIHvA6VCU-SX7-IeIyxhPQjBuOPdIQ6jALSyXU_DLZe9dq1WUE7lHDLqgS7DpLZdP5lOfavv-RBqF&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=xhBAgidyzxlwgsIKffOhbA&oh=00_Afkl7Y0aaRyiGXbwjWc5fdqzQaqQvtVy-dMzocmyRAcsmw&oe=693B6716,0,0,[]
egisimemet,Egi Ismemet,TOXIC AVENGERS!! 😭😭,2025-10-26T08:26:21,https://scontent.cdninstagram.com/v/t51.82787-19/547845765_18524143855050730_2839537452342895596_n.jpg?stp=dst-webp_s150x150&_nc_cat=1&ig_cache_key=GIV2pyDqnz9WnM9BAOzjULVEEGgnbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMyIn0%3D&_nc_ohc=0IvkRuIayDsQ7kNvwF31lV8&_nc_oc=AdnQdd9FKbroQzqdrXB-giKWe13ejn8-qIFWOdJUmJq6kgAxpurH6OVTTToxmwhNkRusKzAhFoI9-iUutO8BEIoa&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=xhBAgidyzxlwgsIKffOhbA&oh=00_AfmRFarcwIAKwgetLFTl_1mSl5otNMHHK27tQCbGA1Jqhg&oe=693B7BA9,0,0,[]
aip_sibiru,Aip Rivie SiBiru,Jadi Nilai Edukasi dr Congor dia ni apa kira2..??? Paket Komplit sih ini menurut gw dlihat dr bentuk Muka nya... dr Dalem ampe Luar2nya RUSAK Semuaa... 🤣🤣🤣,2025-10-26T08:33:09,https://scontent.cdninstagram.com/v/t51.2885-19/269833905_1113573652747671_2165709289836432041_n.jpg?stp=dst-webp_s150x150&_nc_cat=107&ig_cache_key=GLFWFRCX1QASyvQDAKnKdusfJQ4ebkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy40ODAuQzIifQ%3D%3D&_nc_ohc=Gf1fC5p-ngQQ7kNvwGfVF8v&_nc_oc=AdlvlhXbqTbOkSuz1IUMA1g8koiZRw1qmKWAcJgLlriXSnLUZ28qLn8JFmys5oQKbKcT7-_wzE-ErKanZKcMWWNv&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_Afm_F80Er_YZ_45GptC6uISBhj1yx4V1HGrgZV8KV8mKZg&oe=693B6546,1,0,[]
althaifa,Althaira Fakhri,Lambemuu Lul,2025-10-26T08:28:44,https://scontent.cdninstagram.com/v/t51.82787-19/584396365_18395100709134798_2295121473069732761_n.jpg?stp=dst-webp_s150x150&_nc_cat=107&ig_cache_key=GE0u1SLOIWAjP1pBAJlTsdbR6NkfbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMyIn0%3D&_nc_ohc=_OXP5hbySKwQ7kNvwGwDnAZ&_nc_oc=Adn8HMjcBSidtGIRqZ7BxvE74JW6qWdXfDvrL2jbtqAewfpTE-JuSwK6v6eNtFx-c3823oXzNnHVijio-ePP0idG&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=xhBAgidyzxlwgsIKffOhbA&oh=00_AfmHrFTmUvoSl4CqLlnSHXg9WswkeouciVeDyxR5-A4pqQ&oe=693B771F,0,0,[]
dimmyexcel,Calon Rektor,….,2025-10-26T08:26:53,https://scontent.cdninstagram.com/v/t51.2885-19/397526147_6494488564013738_331656133197545514_n.jpg?stp=dst-webp_s150x150&_nc_cat=103&ig_cache_key=GIPEsReqGtvzsxIXACrA0fZ_R5oEbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42MDIuQzIifQ%3D%3D&_nc_ohc=D42ijTA2TL8Q7kNvwHYsLvW&_nc_oc=Adk4m3fl7CgvA8E2OmowlCx409AL5JGq4zQG0ZDgyoENoiVhnj5LCAq3Jpinq45J4ML83ShPAs7U43KEiihShVoy&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfmO1lAOcRySRv6vWaS_bnK-O6SNNJGbZ3vbRqi7q-esXA&oe=693B5C61,1,0,[]
okisaroki,Oki Somantri,Secara tidak langsung dia mengakui bahwa dirinya adalah penjahat jugaa 👏,2025-10-26T08:20:45,https://scontent.cdninstagram.com/v/t51.82787-19/561406242_18377761201176054_8161011261773735910_n.jpg?stp=dst-webp_s150x150&_nc_cat=105&ig_cache_key=GCJhdiH2vSn4eUpBAOZn-PGAvEFxbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMyIn0%3D&_nc_ohc=qghaBPyTwYEQ7kNvwEH2QL6&_nc_oc=AdntfsFKoRUcCXPIUuAQPdFMrpUgN3sfgTCScPGl-_wo9UawIlQNPRRX7q7qchRTz2cCEFCwRTI9EhOZ026Fi0Qn&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=xhBAgidyzxlwgsIKffOhbA&oh=00_Afl8LT1DOm2LnixAz9RNMk4PO-LXBOcpp-xFmjiq8jI-Lw&oe=693B6DA4,0,0,[]
bayu.wiratamaa,Bayu Wiratama,"Emang kntol bahlil ini, mulut memek",2025-10-26T08:32:29,https://scontent.cdninstagram.com/v/t51.82787-19/526356121_18058948880343852_1515271340191443120_n.jpg?stp=dst-webp_s150x150&_nc_cat=107&ig_cache_key=GJmOXx8sowexhChAALDocHJBUwcVbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy44MTAuQzIifQ%3D%3D&_nc_ohc=WF1kP-lysO4Q7kNvwEzf4eo&_nc_oc=AdnZLAuLrSoVo7rLP7x8KJq6Aq5Lh1lfoi53jecZcjWODRc9NSfTQ4DLE0P_1CokUzkg_4XiBJLy2ICwSFaTLUhL&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=xhBAgidyzxlwgsIKffOhbA&oh=00_AflnIVVhWc3G_Yut16tTT6smDO-w6KW_3HvBkLtpnZ-WKQ&oe=693B670D,0,0,[]
