username,full_name,comment,create_time,avatar,total_like,total_reply,replies
fernando.93_,Nando Fernando,Cocok di hantam kayak di nepal si keling,2025-12-07T06:52:43,https://scontent.cdninstagram.com/v/t51.82787-19/520238569_18511339030047124_6938334137918296307_n.jpg?stp=dst-webp_s150x150&_nc_cat=106&ig_cache_key=GOk1Ah_U6TP79sNBAPMQljcj6klgbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=Xahi72PbpvsQ7kNvwE6C5jn&_nc_oc=AdmDsjseG2YspLnfHxydOKe2RJqrHbfYQT7Rtn37v7mEPu7R-xBOihRVs21_Zpad6_k&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=FP1T01_SiL7nIkct9ISCxA&oh=00_AflgGNha3nx0PejIOR8OWLgRGJlU2Sn3YPACmN3_NJ7PyQ&oe=693F09E6,0,0,[]
tubagus_nur_ismail,Nasrallah,,2025-12-07T06:52:04,https://scontent.cdninstagram.com/v/t51.2885-19/435120761_457172723309711_3870826392208190206_n.jpg?stp=dst-webp_s150x150&_nc_cat=110&ig_cache_key=GHlq7xmPHMbRy58BAP6qxl4Y8Lc1bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=W9zAREXstBIQ7kNvwG_Z2dD&_nc_oc=AdkS4VLmJNybeUOy3sJxdxpdilt1ORx0drRDj8QDzqwJ-4YkmOMOcPOcitrkpGy9vhs&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfkoJUKLmKjJ7AuDH5oEafGiRBy7tSRAVlnglcJgGNDHlA&oe=693F00BF,0,0,[]
ayah_ayiq,عبد الرحمن,EL EL serah lu dah,2025-12-07T06:50:27,https://scontent.cdninstagram.com/v/t51.82787-19/584395212_18545857282042673_6918428523225653429_n.jpg?stp=dst-webp_s150x150&_nc_cat=111&ig_cache_key=GMwp1SIx61njW_NBALWgyyIWMgNgbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=hE_odlvvK7YQ7kNvwGi6Csv&_nc_oc=Adnw2jHosjL5S4ADdIlHteq6UdRyAPRYrgHmxatnfmu-Vc5G-UN24JJkcYljZC1nD8w&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=FP1T01_SiL7nIkct9ISCxA&oh=00_Afk-e5zp_nTmlMcYSBA1gR1xQxmW4diAazselWNS_n2OPQ&oe=693EDE8B,2,0,[]
awal9852,awal98,Bahlil bahlil ada aj omingan lu. Emng PR lu jelek banget,2025-12-07T06:50:12,https://scontent.cdninstagram.com/v/t51.2885-19/67836799_2397018803952422_3337332486848905216_n.jpg?stp=dst-webp_s150x150&_nc_cat=111&ig_cache_key=GH8bCwQmW1RuE4QIAAAAAAA3llAubkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=Mn-pUgh53UIQ7kNvwEkzuS_&_nc_oc=AdlE3qfb32SuPOBbF5GEheVNBYu48OqMI3U0eF_6nrBlpFmbtPxsAUnajpm6pGyX46w&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AflEvlfvuXi3x4FV9pS_F9f5SauDLGv_d0RGPgDeX-vaSg&oe=693EE788,0,0,[]
_h3ndrik_,Ahiong - Hendrik,🔥🔥🔥,2025-12-07T06:49:28,https://scontent.cdninstagram.com/v/t51.2885-19/292596414_1134732213923467_771675039550670254_n.jpg?stp=dst-webp_s150x150&_nc_cat=104&ig_cache_key=GL6qcBGLroZuCAgEAK4FdCZcirUKbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=dy5D2_AuQ3IQ7kNvwGhFDB5&_nc_oc=Adn5iEEsmTufSngWReoGS6m8Xcp1M5W4ckaq-AtvxHFFy7L_wzR8iDbqjAnv_ZqXUzQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfmOTq58YMXxjF_G-A4JkcEJoSkOq4y7M3Rs7cslm5Ry7w&oe=693EDEF2,0,0,[]
daraayasmine,BIDADARA,Si jelek ni ada aja gebrakannya,2025-12-07T06:48:26,https://scontent.cdninstagram.com/v/t51.2885-19/22069319_167231460497448_8198782291036602368_n.jpg?stp=dst-webp_s150x150&_nc_cat=108&ig_cache_key=GEfAUAEoWMybGJgAAAAAAAAO7cdxbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy45NjAuQzMifQ%3D%3D&_nc_ohc=8LEE-D0Z9E4Q7kNvwEo2yRV&_nc_oc=AdnFhouxg_cKYUkfvIyYuZeW8HpTUxI5ngD1kP_Jdr7mZSkuQ9xlvkV6teyGHQSBs1Y&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfnAQmu8kObVtCPYJ1vuSbRaAjjaujrn1O3Yv6XbHWxBaQ&oe=693F0B5D,0,1,"[{'username': 'cahyadi_ahmad', 'full_name': 'Ponari Sweet', 'comment': '@daraayasmine kopling angkot....😂😂😂😂', 'create_time': '2025-12-08T08:52:26', 'avatar': 'https://scontent.cdninstagram.com/v/t51.82787-19/579980844_18532532716057387_1013937371423361627_n.jpg?stp=dst-webp_s150x150&_nc_cat=104&ig_cache_key=GCzOkSIrM1SFPddBAFvKLtCqOhIObmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy45MDIuQzMifQ%3D%3D&_nc_ohc=LGd_hQs-P1AQ7kNvwGdaDGq&_nc_oc=Adm_C32hoxK454uVbCWwNVxbbHwmgRFSZT28h34GrIVoVvu1vQiMCFRAoWZQR-nyAUU&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=PBTmrT4-o8uy_eh2_L6eOQ&oh=00_AfkQOudrRWDy_KKrgkws9Zj7coM6SANX86aBSW8jupXmhg&oe=693F08FC', 'total_like': 0}]"
iwanwanzx,Iwan Setiawan,Lg bencana msih sempat Mikir pilkada 😂😂😂kocakkkk,2025-12-07T06:48:15,https://scontent.cdninstagram.com/v/t51.2885-19/117104590_136013684841601_2392212634990580438_n.jpg?stp=dst-webp_s150x150&_nc_cat=105&ig_cache_key=GM7f_gaBnF4ntHsAANaS0I_32DIhbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=0lHFxhQmmy4Q7kNvwHY8yZF&_nc_oc=AdkAgVl7NY-cbTe5FG2hzJyuNfRAmP3HQJsn3cbrW0ngvnRZWBQT22-fgHj2ExEMCG8&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfnnHEFzfZOgaS4rNbcCsJJLXHJpPDXcGGoA5gtkPt52vA&oe=693EDE2B,0,0,[]
tirta.damma,tirta,PEJABAT KORUP @bahlillahadalia MALAH PETINGKAH. NGGATHELI.,2025-12-07T06:46:52,https://scontent.cdninstagram.com/v/t51.82787-19/539435801_18553089475043147_3691615934849809106_n.jpg?stp=dst-webp_s150x150&_nc_cat=111&ig_cache_key=GBkjJyBLX6XD7_lBANL65DsiQTszbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=5lKzKoCPESUQ7kNvwHWu9zO&_nc_oc=Adm6PHLL2TMy8OBK3p9oIgjQwr_A4Wu7OK_p2LMBar-7xbIaAqFVsLsf0nKQ90wM6as&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=FP1T01_SiL7nIkct9ISCxA&oh=00_AflxDXQLwthxjjooQ2n2dIWhfrQ_berHUk2fDpdfp60GdQ&oe=693EF963,0,0,[]
razrahfarahastuti,Rahayu Fujiii,Takut ga di pilih rakyat sihhh ya udah bobrok kerjanya bobrok pikirannya bobrok keputusannya BOBROK BANGET SIH PAK @m.f_aldiansyah 😂😂😂 capek liat bapak ini sumpah,2025-12-07T06:46:01,https://scontent.cdninstagram.com/v/t51.82787-19/588643673_18429293377106465_375994220598812390_n.jpg?stp=dst-webp_s150x150&_nc_cat=104&ig_cache_key=GFn9FSMhMjQ9WHlBAOZeZGTAzDcFbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy44MjguQzMifQ%3D%3D&_nc_ohc=qnvxzLkj5hsQ7kNvwG__r3t&_nc_oc=AdmmL8B70Ne57FRSTpMU2q9dHpsHECrmn9vB6aR8RC7WbEuGcUdBoHTi95boO2izMio&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=FP1T01_SiL7nIkct9ISCxA&oh=00_AfkKe6sedHavW7YJ9QNdUjYd-mp9CZp8sRW9cnrnxitgCg&oe=693EEEF2,0,0,[]
lagilagiegi,Egi Ahmad Pauji,Lil Bahlil,2025-12-07T06:44:07,https://scontent.cdninstagram.com/v/t51.82787-19/588089368_18076213670245481_5216719963727087870_n.jpg?stp=dst-webp_s150x150&_nc_cat=107&ig_cache_key=GBiIDSNp9LJ2ODhAAP5IpOoqg2VIbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=9Y25v2ZOKooQ7kNvwHpLfYH&_nc_oc=AdmdPpbWTic-FUk4gw6Sd8FdyHbWwyACninGUCUac_ceqJliYqk90ZySKMXCeb4J8Jw&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=FP1T01_SiL7nIkct9ISCxA&oh=00_AflDDuTypXreGZZz1XezCWhNCVCgzh7qWVULV4X8uGDOeQ&oe=693F0DE2,0,0,[]
rizkimuhammadsaleh,ƺ꠸ƺ꠸᥅ꪮ,Ga punya pikiran lu,2025-12-07T06:39:30,https://scontent.cdninstagram.com/v/t51.82787-19/564359359_18536376055030568_6097194831343147237_n.jpg?stp=dst-webp_s150x150&_nc_cat=104&ig_cache_key=GL9woyEo4y5evNpBAOVYjhBllp1UbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=d11URBHLJwgQ7kNvwElwZ-L&_nc_oc=AdnRP4UkBy2QcvgitLK3NrQUm32KPhmWVThQ2u0HID2VVWQrK96BL7M6STBHPfiNMgc&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=FP1T01_SiL7nIkct9ISCxA&oh=00_Afm2VamdVpZkpUAtZO7GdktAbP22W_8XdpcS9P3VhG3rgw&oe=693F04DC,0,0,[]
eqqyrizky,,Diem dulu bisa ga 🤬,2025-12-07T06:38:11,https://scontent.cdninstagram.com/v/t51.82787-19/587055197_18551342500047106_3545185363799703782_n.jpg?stp=dst-webp_s150x150&_nc_cat=102&ig_cache_key=GF3A-SICadIDWehBAOYAMiBOBzMxbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=OEUTNNoMYvEQ7kNvwHvu0lr&_nc_oc=AdmBez_teMFxHepcJqcUU33F1HZhekbY8qYfjNXKz6ee_To4fOpHpeO-5jn55PNPsA4&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=3th3W8ZHvMlai0-l74e4-g&oh=00_AfmYYiAJvlY9qUi9QRjAhxnsx_-Jj3yucDmqZlITC9DWVg&oe=693EE2EE,0,0,[]
farhanahay65,Farhan Ahay,Kenapa presiden mau memilih Mentri setolol ini apakah dia titipan dari presiden sebelumnya atau gmana pecat lah ini si tolol ini,2025-12-07T06:37:12,https://scontent.cdninstagram.com/v/t51.89012-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-webp_s150x150&_nc_cat=1&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy5DMyJ9&_nc_ohc=HwQa7Tq_WckQ7kNvwEu2Dyy&_nc_oc=Adm2U-ZkagSFEzMErIejimGxfDGUjnZtgs6PJ0nx08oyx9Ia7noR9J_8GIP55UAv4cE&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=3th3W8ZHvMlai0-l74e4-g&oh=00_AflkcxYkMfvH8lfyiBfll4uKRQ0pNfRCh2c9O4Xf7Bztew&oe=693EF8D9,0,0,[]
xsweet_choco,heavenly youth,udah kagak cakep banyak tingkah 🙌,2025-12-07T06:37:03,https://scontent.cdninstagram.com/v/t51.82787-19/517117808_18057277292361612_1643173525733428187_n.jpg?stp=dst-webp_s150x150&_nc_cat=101&ig_cache_key=GHCX0h6MN59_-yZAANvLqqGduc0WbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=uQhzxrTxE6oQ7kNvwEgew2Z&_nc_oc=Adm3du9sW6S71QEac0BiYa34LwyicO58qf9r5C91wcJLNGAknQtHp36A-AJhruEfeJI&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=3th3W8ZHvMlai0-l74e4-g&oh=00_AfmXPi_ddk4-sqXFaDODpNyM93C5NtuQjoapDDzprv8e5w&oe=693F0BF7,0,0,[]
growlogict_,𝙭𝙍𝙐𝙇𝙇,baabi kau bahlel,2025-12-07T06:36:29,https://scontent.cdninstagram.com/v/t51.2885-19/271937202_151543893886651_6564989608718145128_n.jpg?stp=dst-webp_s150x150&_nc_cat=105&ig_cache_key=GLJuNRC7hvYP1IkAAGiWxi1EhxtbbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=Eu3q9yj6LMEQ7kNvwFSQZJv&_nc_oc=Adnv6h8wPOooiG6lFP0wGKYxyMZLVbA4eH--DoJKW4WStHwAtAjnALBtKj1djs9pb0c&_nc_ad=z-m&_nc_cid=0&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfmUE0rOStxbJHD1Yv_Wf_LdlHYT1zBviagfU3MC4TR5xw&oe=693F0CE9,0,0,[]
